"date","count","min","max","mean","median","mode","standardDev"
"2018-04-17","1098","123","3900000","125500","54950","35000","285477"
"2018-04-18","960","20","2900000","122979","59450","15000","209548"
"2018-04-19","838","5","6500000","129675","64950","12000","354928"
"2018-04-20","894","20","6250000","137624","65900","35000","416764"
"2018-04-21","708","100","12000000","170501","59927","35000","616847"
"2018-04-22","588","1","6250000","152695","60450","15000","421594"
"2018-04-23","1078","1","12000000","164332","64300","35000","515323"
"2018-04-24","952","25","9400000","146614","64350","13000","432014"
"2018-04-25","922","1","6250000","133212","57750","35000","309718"
"2018-04-26","896","100","26014500","156623","62150","25000","917384"
"2018-04-27","766","80","2000000","110488","56700","25000","185861"
"2018-04-28","657","46","1550000","126450","69000","27000","158243"
"2018-04-29","478","3","3150000","118603","49000","20000","252786"
"2018-04-30","772","600","2500000","164845","96250","35000","235983"
"2018-05-01","611","230","980000","93577","59000","60000","118145"
"2018-05-02","826","150","2217800","103894","47000","35000","172393"
"2018-05-03","989","700","5000000","127029","70000","39000","263425"
"2018-05-04","649","50","4200000","136627","72000","35000","277123"
"2018-05-05","478","1","1500000","102753","49000","199000","156651"
"2018-05-06","578","660","4000000","158914","57000","35000","349886"
"2018-05-07","1151","21","1800000","123827","66000","15000","163587"
"2018-05-08","1245","24","59999999","170282","57000","35000","1710673"
"2018-05-09","961","125","1800000","107856","57000","25000","163619"
"2018-05-10","1022","500","3900000","114858","65000","20000","220599"
"2018-05-11","779","100","3500000","141795","62000","35000","310716"
"2018-05-12","640","7","5000000","130525","64949","6000","280625"
"2018-05-13","488","60","1500000","119402","49750","33000","205551"
"2018-05-14","1064","100","6360000","144650","72000","25000","293037"
"2018-05-15","1084","200","6360000","137361","59275","25000","309060"
"2018-05-16","1011","1","6250000","113961","59000","45000","252822"
"2018-05-17","1251","1","9200000","151857","65000","65000","387533"
"2018-05-18","1011","550","15000000","149104","62000","15000","601938"
"2018-05-19","622","65","2500000","137256","73000","250000","218415"
"2018-05-20","564","1","3500000","126610","50000","15000","279193"
"2018-05-21","1080","900","6360000","153565","65000","35000","355646"
"2018-05-22","1231","500","3500000","146199","75000","35000","250670"
"2018-05-23","1055","18","4000000","124412","55000","25000","236014"
"2018-05-24","1023","1","4370000","138569","60000","20000","287002"
"2018-05-25","721","96","9000000","131550","70000","15000","385793"
"2018-05-26","579","699","3900000","159120","81900","15000","276328"
"2018-05-27","491","80","4352000","129822","54500","12000","276208"
"2018-05-28","1083","1","9000000","143794","59000","130000","408045"
"2018-05-29","850","10","2950000","112806","55000","55000","219207"
"2018-05-30","819","10","3450000","108081","57000","75000","195292"
"2018-05-31","953","96","7449500","116803","68000","45000","270284"
"2018-06-01","875","300","3500000","124993","66500","10000","253235"
"2018-06-02","463","128","2280905","109111","60000","55000","175199"
"2018-06-03","466","1","4000000","131107","57250","15000","312646"
"2018-06-04","1004","12","2700000","130075","78000","15000","179144"
"2018-06-05","1072","1","3000000","97240","54450","15000","178768"
"2018-06-06","1358","10","4000000","159701","80750","35000","263116"
"2018-06-07","1192","130","5500000","119642","61750","25000","270632"
"2018-06-08","858","1","3390000","117749","58950","8000","234737"
"2018-06-09","581","1","3000000","123444","65000","65000","208068"
"2018-06-10","385","51","2800000","120428","52590","55000","269540"
"2018-06-11","1041","7","2400000","137168","62000","20000","228499"
"2018-06-12","911","42","5600000","132311","60000","35000","287264"
"2018-06-13","984","1","3500000","119676","60000","35000","208395"
"2018-06-14","898","1","5624000","126227","62250","15000","281078"
"2018-06-15","766","18","3100000","101200","55000","32000","179607"
"2018-06-16","445","500","1200000","105800","60000","8000","140249"
"2018-06-17","337","10","5600000","122990","47900","12000","373858"
"2018-06-18","951","30","55269000","165458","56500","25000","1795484"
"2018-06-19","914","1","4700000","129028","58950","35000","271788"
"2018-06-20","750","85","2500000","126437","59000","25000","218720"
"2018-06-21","833","7","3900000","103826","59900","199000","177195"
"2018-06-22","613","6","2900000","119932","69000","35000","175945"
"2018-06-23","354","380","980000","120647","67500","15000","149250"
"2018-06-24","310","500","1300000","92919","45500","15000","149006"
"2018-06-25","1193","100","5600000","166595","85000","35000","291833"
"2018-06-26","869","1","2500000","118487","60000","20000","219112"
"2018-06-27","899","15","3500000","108964","56000","25000","211055"
"2018-06-28","777","650","2500000","117527","63400","45000","206151"
"2018-06-29","723","20","3500000","114115","65000","25000","206778"
"2018-06-30","924","200","9000000","192981","98000","35000","420631"
"2018-07-01","503","40","9000000","182736","54900","20000","626320"
"2018-07-02","925","20","5500000","125773","59000","45000","259199"
"2018-07-03","905","30","1540000","102764","50000","25000","159149"
"2018-07-04","869","419","4000000","116570","56490","18000","216678"
"2018-07-05","855","660","3500000","109631","55000","1950","209531"
"2018-07-06","780","419","2950000","113406","65000","15000","194266"
"2018-07-07","427","380","325957500","871865","52000","49500","15751420"
"2018-07-08","554","600","4000000","131121","58945","40000","299254"
"2018-07-09","723","500","1400000","97989","47500","35000","137810"
"2018-07-10","970","16","2650000","125702","60030","15000","228060"
"2018-07-11","1205","250","2650000","120327","82900","25000","175414"
"2018-07-12","823","4","2070000","116317","59000","15000","184086"
"2018-07-13","838","10","6250000","121990","55000","65000","347094"
"2018-07-14","553","30","6250000","127153","65000","15000","306845"
"2018-07-15","357","1","2650000","126613","58000","20000","218109"
"2018-07-16","1012","20","2950000","139484","67500","45000","219215"
"2018-07-17","1007","3","3400000","111820","59000","65000","197100"
"2018-07-18","847","4","5600000","141693","57000","17000","350764"
"2018-07-19","760","6","5600000","119613","55900","75000","338791"
"2018-07-20","743","1","2950000","132423","65000","35000","250515"
"2018-07-21","569","500","9750000","129719","73500","68000","426251"
"2018-07-22","614","10","9507000","140064","65000","30000","424746"
"2018-07-23","965","500","5600000","139950","65000","35000","302365"
"2018-07-24","999","1","3750000","126888","57000","30000","266653"
"2018-07-25","881","1","3500000","124166","62000","15000","247277"
"2018-07-26","826","1","9000000","133447","55000","20000","438480"
"2018-07-27","660","420","78588000","272527","70950","12000","3078793"
"2018-07-28","495","700","2500000","134275","67000","25000","269611"
"2018-07-29","599","600","149580000","398692","65000","42000","6106817"
"2018-07-30","892","9","9000000","137614","60000","45000","379670"
"2018-07-31","854","36","3703920","129992","64000","35000","239146"
"2018-08-01","844","10","4700000","132507","52650","30000","366860"
"2018-08-02","875","1","6500000","124504","65000","35000","278405"
"2018-08-03","806","500","3000000","118683","65000","45000","206924"
"2018-08-04","525","1100","4000000","118383","71500","59000","225509"
"2018-08-05","331","18","1800000","100408","42500","25000","164835"
"2018-08-06","692","1","3200000","112298","45000","35000","229024"
"2018-08-07","898","18","3000000","120109","58250","25000","202060"
"2018-08-08","1126","17","2390000","124348","72000","115000","199610"
"2018-08-09","775","100","3150000","114479","60000","15000","226091"
"2018-08-10","764","480","3500000","122375","59000","35000","244238"
"2018-08-11","495","660","1800000","122479","53000","30000","214830"
"2018-08-12","413","7","1478800","102425","49500","35000","167005"
"2018-08-13","774","28","2500000","107648","46625","15000","199478"
"2018-08-14","920","17","2500000","109657","55000","20000","195627"
"2018-08-15","779","7","2500000","123978","50000","15000","244671"
"2018-08-16","802","25","2450000","105908","55499","199000","153834"
"2018-08-17","803","750","46125000","201088","74000","75000","1644529"
"2018-08-18","410","600","2990000","125279","59900","15000","267897"
"2018-08-19","305","25","2200000","94012","40000","35000","200456"
"2018-08-20","807","500","2650000","96874","46999","15000","167791"
"2018-08-21","796","80","3766500","113224","52000","25000","252774"
"2018-08-22","874","1","4900000","104985","53250","45000","271752"
"2018-08-23","1182","50","1200000","133772","81000","68000","160342"
"2018-08-24","648","187","6250000","120588","53500","35000","378321"
"2018-08-25","437","1999","6250000","123550","57000","35000","364608"
"2018-08-26","552","550","6250000","147928","60500","35000","414282"
"2018-08-28","915","30","3000000","124909","56000","20000","244970"
"2018-08-29","896","100","5798000","124656","68000","90000","267890"
"2018-08-30","875","500","4387000","125009","64900","35000","289175"
"2018-08-31","738","500","3400000","114356","62837","5000","187369"
"2018-09-01","465","1500","64000000","251432","55000","55000","2966441"
"2018-09-02","334","15","2500000","101990","41000","25000","219096"
"2018-09-03","824","1","2500000","110680","56000","35000","192155"
"2018-09-04","951","10","6250000","139612","63000","55000","325951"
"2018-09-05","898","20","5500000","129618","58508","35000","339729"
"2018-09-06","817","375","5500000","124875","57125","35000","321269"
"2018-09-07","802","1","2217800","112257","72250","35000","160280"
"2018-09-08","493","60","2500000","125837","73000","55000","191775"
"2018-09-09","396","500","2217800","87433","42450","25000","158605"
"2018-09-10","946","750","1999991","118721","63130","15000","167671"
"2018-09-11","856","250","3703920","122792","59000","15000","249504"
"2018-09-12","923","1","2800000","118872","60000","20000","242108"
"2018-09-13","766","35","9550000","144861","62900","35000","507227"
"2018-09-14","689","200","9000000","165273","75000","55000","437064"
"2018-09-15","509","100","3200000","129777","62500","30000","265360"
"2018-09-16","421","1234","950000","98746","50000","50000","129080"
"2018-09-17","1288","600","4000000","185323","78250","35000","324995"
"2018-09-18","1563","1","2644720","140590","91900","250000","170197"
"2018-09-19","898","2","2007700","123140","68950","35000","191348"
"2018-09-20","740","1000","5600000","124396","64950","30000","271777"
"2018-09-21","585","200","5600000","118661","52000","15000","299139"
"2018-09-22","547","380","2340000","124236","69000","80000","188055"
"2018-09-23","431","160","3500000","127783","55000","30000","257203"
"2018-09-24","871","500","5600000","122418","57000","35000","262977"
"2018-09-25","887","30","16740000","113949","55000","35000","572602"
"2018-09-26","791","10","7000000","128062","59000","32000","317156"
"2018-09-27","811","10","3717000","122787","69900","35000","228605"
"2018-09-28","688","36","9000000","142055","63950","65000","443737"
"2018-09-29","490","99","9000000","172808","67950","49000","552182"
"2018-09-30","415","11","1000000","101944","55000","35000","141591"
"2018-10-01","1051","99","9000000","141745","78900","42000","336985"
"2018-10-02","719","300","2550000","119174","54900","30000","224264"
"2018-10-03","701","36","2300000","111934","58300","20000","192524"
