"date","count","min","max","mean","median","mode","standardDev"
"2018-04-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-04-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-04-26","1","4000","4000","4000","4000","4000","0"
"2018-04-27","1","5000","5000","5000","5000","5000","0"
"2018-04-28","1","10000","10000","10000","10000","10000","0"
"2018-04-29","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-04-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-02","3","10","10000","3670","1000","10","4494"
"2018-05-03","1","2000000","2000000","2000000","2000000","2000000","0"
"2018-05-04","3","1","2000000","666667","1","1","942808"
"2018-05-05","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-06","3","7000","200000","74600","16800","7000","88761"
"2018-05-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-08","2","6000","20000","13000","13000","6000","7000"
"2018-05-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-12","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-17","3","25000","25000","25000","25000","25000","0"
"2018-05-18","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-19","1","12000","12000","12000","12000","12000","0"
"2018-05-20","1","2","2","2","2","2","0"
"2018-05-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-22","9","10","37000","7890","1500","1500","12680"
"2018-05-23","3","5","90000","30235","700","5","42261"
"2018-05-24","2","5","35000","17502","17502","5","17497"
"2018-05-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-26","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-28","2","10000","10000","10000","10000","10000","0"
"2018-05-29","1","49999","49999","49999","49999","49999","0"
"2018-05-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-05-31","6","16000","32000","21000","16000","16000","7094"
"2018-06-01","1","15000","15000","15000","15000","15000","0"
"2018-06-02","1","25000","25000","25000","25000","25000","0"
"2018-06-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-04","1","25000","25000","25000","25000","25000","0"
"2018-06-05","1","10","10","10","10","10","0"
"2018-06-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-08","1","2500","2500","2500","2500","2500","0"
"2018-06-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-10","1","22500","22500","22500","22500","22500","0"
"2018-06-11","1","2500","2500","2500","2500","2500","0"
"2018-06-12","1","30000","30000","30000","30000","30000","0"
"2018-06-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-14","1","20000","20000","20000","20000","20000","0"
"2018-06-15","1","26000","26000","26000","26000","26000","0"
"2018-06-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-18","1","98000","98000","98000","98000","98000","0"
"2018-06-19","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-25","2","3000","10000","6500","6500","3000","3500"
"2018-06-26","3","3000","184000","82333","60000","3000","75561"
"2018-06-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-28","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-06-29","1","35000","35000","35000","35000","35000","0"
"2018-06-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-02","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-03","1","15000","15000","15000","15000","15000","0"
"2018-07-04","1","100000","100000","100000","100000","100000","0"
"2018-07-05","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-08","2","10","10","10","10","10","0"
"2018-07-09","3","1500","20000","8833","5000","1500","8024"
"2018-07-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-11","1","4000","4000","4000","4000","4000","0"
"2018-07-12","1","11","11","11","11","11","0"
"2018-07-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-14","1","40000","40000","40000","40000","40000","0"
"2018-07-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-16","2","2","999","500","500","2","498"
"2018-07-17","2","1000","1000","1000","1000","1000","0"
"2018-07-18","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-07-19","1","11000","11000","11000","11000","11000","0"
"2018-07-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
