"date","count","min","max","mean","median","mode","standardDev"
"2018-05-15","17","30","1300","210","150","200","283"
"2018-05-16","6","20","300","145","125","100","88"
"2018-05-17","6","40","150200","25223","175","40","55891"
"2018-05-18","6","10","280","119","111","123","81"
"2018-05-19","3","10","190","106","120","10","74"
"2018-05-20","13","30","12345","1130","200","100","3239"
"2018-05-21","14","1","300","107","100","100","76"
"2018-05-22","14","10","700","227","180","180","151"
"2018-05-23","17","11","300","135","150","150","79"
"2018-05-24","5","3","450","170","150","70","152"
"2018-05-25","6","5","330","164","175","200","99"
"2018-05-26","10","25","990","372","200","100","370"
"2018-05-27","9","100","400","188","150","100","90"
"2018-05-28","7","50","12345","2016","200","50","4227"
"2018-05-29","8","30","600","172","140","150","172"
"2018-05-30","2","50","150","100","100","50","50"
"2018-05-31","8","100","1200","375","225","100","335"
"2018-06-01","10","120","700","261","190","130","175"
"2018-06-02","5","100","300","228","260","300","77"
"2018-06-03","11","50","220","128","120","75","51"
"2018-06-04","6","70","300","131","100","70","79"
"2018-06-05","7","50","250","171","200","200","60"
"2018-06-06","14","7","800","272","200","100","231"
"2018-06-07","16","2","1000","217","200","200","211"
"2018-06-08","10","20","250","139","160","200","76"
"2018-06-09","8","40","300","177","190","200","67"
"2018-06-10","11","10","500","180","150","100","137"
"2018-06-11","15","5","500","186","150","150","125"
"2018-06-12","14","1","10000","1555","150","150","3448"
"2018-06-13","11","3","7000","845","150","100","1956"
"2018-06-14","14","1","1234","274","150","150","326"
"2018-06-15","7","50","1000","350","280","50","298"
"2018-06-16","9","75","700","220","200","75","186"
"2018-06-17","7","30","350","178","150","150","114"
"2018-06-18","4","100","280","195","200","100","72"
"2018-06-19","15","35","35000","2504","190","200","8685"
"2018-06-20","9","100","450","222","170","150","106"
"2018-06-21","2","160","200","180","180","160","20"
"2018-06-22","1","200","200","200","200","200","0"
"2018-06-23","3","150","500","283","200","150","154"
"2018-06-24","3","1","60","30","30","1","24"
"2018-06-25","9","50","1000","274","200","100","275"
"2018-06-26","8","10","700","213","150","200","218"
"2018-06-27","12","80","1234","288","170","150","305"
"2018-06-28","9","100","700","232","170","170","179"
"2018-06-29","8","12","250","124","100","40","89"
"2018-06-30","9","11","200","112","100","80","64"
"2018-07-01","10","50","280","177","200","200","70"
"2018-07-02","11","120","250","195","200","180","33"
"2018-07-03","5","2","220","100","100","2","74"
"2018-07-04","5","1","400","190","150","150","131"
"2018-07-05","6","100","270","171","155","150","52"
"2018-07-06","11","100","800","227","190","100","188"
"2018-07-07","5","100","180","122","100","100","31"
"2018-07-08","7","50","800","248","200","200","232"
"2018-07-09","8","1","120","62","60","100","39"
"2018-07-10","11","3","250","167","180","130","62"
"2018-07-11","10","50","200","146","150","150","51"
"2018-07-12","8","33","650","202","150","150","176"
"2018-07-13","11","50","250","134","120","100","63"
"2018-07-14","4","50","350","168","137","50","119"
"2018-07-15","13","50","400","204","200","200","96"
"2018-07-16","22","3","1000","204","120","100","263"
"2018-07-17","9","70","400","191","150","250","99"
"2018-07-18","13","80","300","184","180","180","43"
"2018-07-19","13","2","500","160","120","50","134"
"2018-07-20","8","40","600","198","150","100","163"
"2018-07-21","6","80","200","138","125","100","48"
"2018-07-22","5","20","400","194","180","20","127"
"2018-07-23","15","50","1000","274","200","150","229"
"2018-07-24","11","130","800","262","180","180","194"
"2018-07-25","10","70","350","197","200","200","86"
"2018-07-26","14","100","500","198","150","100","115"
"2018-07-27","6","100","300","156","110","100","76"
"2018-07-28","3","70","180","116","100","70","46"
"2018-07-29","5","3","200","126","180","200","83"
"2018-07-30","11","3","350","156","90","300","123"
"2018-07-31","7","100","300","174","150","100","72"
"2018-08-01","17","7","18000","1212","150","150","4197"
"2018-08-02","8","50","450","230","235","50","155"
"2018-08-03","5","100","350","220","230","100","97"
"2018-08-04","6","1","50000","11735","190","30","18591"
"2018-08-05","8","20","599","193","125","100","177"
"2018-08-06","16","50","300","146","150","50","77"
"2018-08-07","20","4","5264","442","200","200","1113"
"2018-08-08","12","40","750","184","135","100","180"
"2018-08-09","14","100","1000","514","700","750","303"
"2018-08-10","15","22","8000","702","170","150","1953"
"2018-08-11","2","150","200","175","175","150","25"
"2018-08-12","6","50","150","125","150","150","38"
"2018-08-13","8","70","350","185","150","70","109"
"2018-08-14","6","150","25000","4338","200","200","9240"
"2018-08-15","20","100","500","206","185","100","99"
"2018-08-16","6","120","1000","336","200","200","301"
"2018-08-17","4","70","200","132","130","70","48"
"2018-08-18","4","50","250","145","140","50","82"
"2018-08-19","13","10","200","79","60","10","65"
"2018-08-20","12","50","650","258","240","250","167"
"2018-08-21","16","30","300","160","200","200","75"
"2018-08-22","6","50","700","210","130","50","221"
"2018-08-23","12","10","5000","752","160","130","1436"
"2018-08-24","4","50","280","170","175","50","97"
"2018-08-25","5","10","500","226","220","10","160"
"2018-08-26","10","10","300","192","200","200","84"
"2018-08-27","7","30","300","164","200","250","103"
"2018-08-28","13","3","1500","226","130","100","377"
"2018-08-29","10","80","500","200","175","100","120"
"2018-08-30","4","115","250","158","135","115","54"
"2018-08-31","19","5","1000","241","200","200","270"
"2018-09-01","7","2","300","107","100","100","91"
"2018-09-02","5","25","250","151","180","25","79"
"2018-09-03","8","100","280","201","200","200","55"
"2018-09-04","10","50","500","176","155","200","120"
"2018-09-05","15","10","3000","376","200","200","716"
"2018-09-06","3","100","500","253","160","100","176"
"2018-09-07","10","90","5000","654","175","150","1449"
"2018-09-08","7","50","400","177","150","150","113"
"2018-09-09","13","15","400","174","150","150","109"
"2018-09-10","9","1","12345","1494","100","1","3839"
"2018-09-11","12","10","9000","1063","210","300","2446"
"2018-09-12","14","15","230","158","180","180","59"
"2018-09-13","10","100","250","167","175","200","47"
"2018-09-14","7","130","500","235","200","250","116"
"2018-09-15","6","25","300","174","200","250","100"
"2018-09-16","13","35","300","145","150","150","66"
"2018-09-17","14","1","250","160","165","150","72"
"2018-09-18","12","1","340","163","180","180","106"
"2018-09-19","6","100","1000","388","300","300","284"
"2018-09-20","17","18","70000","9858","220","150","21792"
"2018-09-21","8","80","2400","447","200","200","739"
"2018-09-22","5","17","220","117","100","100","66"
"2018-09-23","8","100","500","203","150","150","119"
"2018-09-24","8","5","500","190","200","200","147"
"2018-09-25","18","3","400","157","150","150","91"
"2018-09-26","10","7","1000","305","160","150","353"
"2018-09-27","13","3","300","107","120","150","84"
"2018-09-28","11","3","50000","9281","200","3","17749"
"2018-09-29","22","30","1000","416","500","600","247"
"2018-09-30","11","10","1500","294","160","30","411"
"2018-10-01","17","100","1000","249","200","200","208"
"2018-10-02","13","50","5000","522","150","150","1293"
"2018-10-03","13","50","300","187","200","200","71"
"2018-10-04","8","10","300","133","115","10","90"
"2018-10-05","3","100","500","233","100","100","188"
"2018-10-06","3","100","200","133","100","100","47"
"2018-10-07","13","50","12345","1111","180","150","3243"
"2018-10-08","9","50","250","143","150","60","79"
"2018-10-09","11","60","350","210","200","200","83"
"2018-10-10","9","15","2500","420","200","100","739"
"2018-10-11","9","100","800","308","250","200","198"
"2018-10-12","11","10","400","179","180","180","96"
"2018-10-13","4","15","150","86","90","15","55"
"2018-10-14","18","75","700","219","200","200","135"
"2018-10-15","12","1","300","154","155","250","101"
"2018-10-16","13","5","2600","500","200","200","711"
"2018-10-17","11","4","280","136","100","100","82"
"2018-10-18","10","60","500","186","150","150","115"
"2018-10-19","8","150","3000","548","205","150","927"
"2018-10-20","7","60","300","180","180","60","79"
"2018-10-21","5","70","350","174","123","70","102"
"2018-10-22","14","70","2400","321","190","200","578"
"2018-10-23","5","70","350","180","200","200","101"
"2018-10-24","14","50","300","159","165","180","64"
